formula, size, congruence, reverse, result 
P0.5N2L10.form252, 16, 3, 1, true
P0.5N2L10.form253, 10, 6, 0, true
P0.5N2L10.form254, 13, 0, 0, true
P0.5N2L10.form255, 13, 2, 0, true
P0.5N2L10.form256, 13, 2, 0, true
P0.5N2L10.form257, 13, 13, 0, true
P0.5N2L10.form258, 13, 4, 0, true
P0.5N2L10.form259, 10, 0, 1, true
P0.5N2L10.form260, 16, 6, 0, true
P0.5N2L10.form261, 10, 2, 0, true
P0.5N2L10.form262, 10, 1, 1, true
P0.5N2L10.form263, 13, 0, 1, true
P0.5N2L10.form264, 10, 3, 0, true
P0.5N2L10.form265, 10, 4, 0, true
P0.5N2L10.form266, 10, 0, 0, true
P0.5N2L10.form267, 16, 3, 0, true
P0.5N2L10.form268, 10, 0, 0, true
P0.5N2L10.form269, 10, 4, 1, true
P0.5N2L10.form270, 16, 10, 0, true
P0.5N2L10.form271, 19, 15, 0, true
P0.5N2L10.form272, 13, 2, 1, true
P0.5N2L10.form273, 10, 0, 0, true
P0.5N2L10.form274, 10, 0, 1, true
P0.5N2L10.form275, 10, 7, 1, true
P0.5N2L10.form276, 13, 1, 0, true
P0.5N2L10.form277, 13, 1, 0, true
P0.5N2L10.form278, 13, 6, 2, true
P0.5N2L10.form279, 13, 1, 0, true
P0.5N2L10.form280, 13, 1, 1, true
P0.5N2L10.form281, 10, 3, 1, true
P0.5N2L10.form282, 13, 3, 0, true
P0.5N2L10.form283, 16, 10, 1, true
P0.5N2L10.form284, 13, 0, 1, true
P0.5N2L10.form285, 13, 5, 0, true
P0.5N2L10.form286, 10, 1, 0, true
P0.5N2L10.form287, 13, 7, 0, true
P0.5N2L10.form288, 16, 3, 1, true
P0.5N2L10.form289, 16, 3, 1, true
P0.5N2L10.form290, 13, 1, 1, true
P0.5N2L10.form291, 13, 1, 1, true
P0.5N2L10.form292, 10, 1, 0, true
P0.5N2L10.form293, 16, 12, 1, true
P0.5N2L10.form294, 16, 7, 0, true
P0.5N2L10.form295, 13, 1, 1, true
P0.5N2L10.form296, 13, 2, 0, true
P0.5N2L10.form297, 10, 1, 1, true
P0.5N2L10.form298, 16, 5, 0, true
P0.5N2L10.form299, 13, 10, 0, true
P0.5N2L10.form300, 13, 0, 0, true
P0.5N2L10.form301, 13, 1, 1, true
P0.5N2L10.form302, 16, 26, 1, true
P0.5N2L10.form303, 13, 1, 0, true
P0.5N2L10.form304, 19, 7, 1, true
P0.5N2L10.form305, 10, 6, 0, true
P0.5N2L10.form306, 16, 1, 0, true
P0.5N2L10.form307, 16, 1, 0, true
P0.5N2L10.form308, 16, 0, 1, true
P0.5N2L10.form309, 13, 7, 1, true
P0.5N2L10.form310, 13, 4, 1, true
P0.5N2L10.form311, 10, 1, 0, true
P0.5N2L10.form312, 13, 1, 0, true
P0.5N2L10.form313, 13, 0, 0, true
P0.5N2L10.form314, 16, 8, 1, true
P0.5N2L10.form315, 13, 6, 1, true
P0.5N2L10.form316, 16, 6, 0, true
P0.5N2L10.form317, 16, 5, 1, true
P0.5N2L10.form318, 13, 8, 2, true
P0.5N2L10.form319, 13, 4, 0, true
P0.5N2L10.form320, 19, 0, 1, true
P0.5N2L10.form321, 19, 11, 2, true
P0.5N2L10.form322, 19, 20, 1, true
P0.5N2L10.form323, 16, 6, 0, true
P0.5N2L10.form324, 13, 2, 0, true
P0.5N2L10.form325, 19, 2, 0, true
P0.5N2L10.form326, 10, 0, 0, true
P0.5N2L10.form327, 10, 0, 0, true
P0.5N2L10.form328, 10, 1, 1, true
P0.5N2L10.form329, 13, 0, 0, true
P0.5N2L10.form330, 10, 7, 1, true
P0.5N2L10.form331, 13, 1, 0, true
P0.5N2L10.form332, 10, 0, 0, true
P0.5N2L10.form333, 16, 1, 1, true
P0.5N2L10.form334, 13, 0, 1, true
P0.5N2L10.form335, 16, 7, 0, true
P0.5N2L10.form336, 13, 0, 0, true
P0.5N2L10.form337, 10, 0, 1, true
P0.5N2L10.form338, 19, 3, 2, true
P0.5N2L10.form339, 13, 11, 1, true
P0.5N2L10.form340, 16, 4, 1, true
P0.5N2L10.form341, 10, 0, 0, true
P0.5N2L10.form342, 13, 2, 1, true
P0.5N2L10.form343, 10, 1, 0, true
P0.5N2L10.form344, 10, 1, 0, true
P0.5N2L10.form345, 10, 0, 0, true
P0.5N2L10.form346, 16, 2, 0, true
P0.5N2L10.form347, 10, 0, 1, true
P0.5N2L10.form348, 10, 8, 1, true
P0.5N2L10.form349, 16, 13, 1, true
P0.5N2L10.form350, 10, 1, 0, true
P0.5N2L10.form351, 13, 2, 0, true
P0.5N2L10.form352, 13, 3, 0, true
P0.5N2L10.form353, 10, 1, 0, true
P0.5N2L10.form354, 13, 2, 0, true
P0.5N2L10.form355, 10, 0, 0, true
P0.5N2L10.form356, 13, 0, 1, true
P0.5N2L10.form357, 16, 1, 1, true
P0.5N2L10.form358, 10, 2, 0, true
P0.5N2L10.form359, 10, 2, 1, true
P0.5N2L10.form360, 13, 41, 5, true
P0.5N2L10.form361, 10, 5, 1, true
P0.5N2L10.form362, 13, 10, 0, true
P0.5N2L10.form363, 10, 9, 1, true
P0.5N2L10.form364, 13, 1, 1, true
P0.5N2L10.form365, 10, 1, 1, true
P0.5N2L10.form366, 13, 19, 1, true
P0.5N2L10.form367, 13, 0, 1, true
P0.5N2L10.form368, 13, 14, 1, true
P0.5N2L10.form369, 16, 7, 0, true
P0.5N2L10.form370, 10, 0, 0, true
P0.5N2L10.form371, 13, 0, 0, true
