formula, size, congruence-pq, total, solver, subsumption
P0.5N2L10.form267, 16, 3, 0, 3
P0.5N2L10.form268, 10, 0, 0, 0
P0.5N2L10.form269, 10, 2, 0, 2
P0.5N2L10.form270, 16, 8, 0, 6
P0.5N2L10.form271, 19, 11, 0, 10
P0.5N2L10.form272, 13, 3, 0, 3
P0.5N2L10.form273, 10, 0, 0, 0
P0.5N2L10.form274, 10, 0, 0, 0
P0.5N2L10.form275, 10, 6, 1, 3
P0.5N2L10.form276, 13, 0, 0, 0
P0.5N2L10.form277, 13, 0, 0, 0
P0.5N2L10.form278, 13, 5, 0, 4
P0.5N2L10.form279, 13, 1, 0, 0
P0.5N2L10.form280, 13, 1, 0, 1
P0.5N2L10.form281, 10, 2, 1, 0
P0.5N2L10.form282, 13, 2, 0, 2
P0.5N2L10.form283, 16, 6, 0, 6
P0.5N2L10.form284, 13, 0, 0, 0
P0.5N2L10.form285, 13, 3, 0, 3
P0.5N2L10.form286, 10, 1, 0, 1
P0.5N2L10.form287, 13, 6, 0, 5
P0.5N2L10.form288, 16, 3, 0, 3
P0.5N2L10.form289, 16, 4, 0, 4
P0.5N2L10.form290, 13, 1, 0, 0
P0.5N2L10.form291, 13, 1, 0, 1
P0.5N2L10.form292, 10, 1, 0, 1
P0.5N2L10.form293, 16, 11, 0, 9
P0.5N2L10.form294, 16, 4, 0, 3
P0.5N2L10.form295, 13, 1, 0, 1
P0.5N2L10.form296, 13, 2, 0, 1
P0.5N2L10.form297, 10, 1, 0, 1
P0.5N2L10.form298, 16, 4, 0, 4
P0.5N2L10.form299, 13, 7, 0, 7
P0.5N2L10.form300, 13, 0, 0, 0
P0.5N2L10.form301, 13, 1, 0, 1
P0.5N2L10.form302, 16, 16, 0, 12
P0.5N2L10.form303, 13, 1, 0, 1
P0.5N2L10.form304, 19, 6, 0, 5
P0.5N2L10.form305, 10, 4, 0, 4
P0.5N2L10.form306, 16, 1, 0, 1
P0.5N2L10.form307, 16, 0, 0, 0
P0.5N2L10.form308, 16, 0, 0, 0
P0.5N2L10.form309, 13, 5, 0, 4
P0.5N2L10.form310, 13, 3, 0, 3
P0.5N2L10.form311, 10, 1, 0, 1
P0.5N2L10.form312, 13, 0, 0, 0
P0.5N2L10.form313, 13, 0, 0, 0
P0.5N2L10.form314, 16, 7, 0, 6
P0.5N2L10.form315, 13, 5, 0, 5
P0.5N2L10.form316, 16, 4, 0, 4
P0.5N2L10.form317, 16, 4, 0, 3
P0.5N2L10.form318, 13, 6, 1, 4
P0.5N2L10.form319, 13, 4, 0, 3
P0.5N2L10.form320, 19, 0, 0, 0
P0.5N2L10.form321, 19, 6, 0, 6
P0.5N2L10.form322, 19, 13, 0, 13
P0.5N2L10.form323, 16, 5, 0, 4
P0.5N2L10.form324, 13, 2, 0, 1
P0.5N2L10.form325, 19, 1, 0, 0
P0.5N2L10.form326, 10, 0, 0, 0
P0.5N2L10.form327, 10, 0, 0, 0
P0.5N2L10.form328, 10, 1, 0, 1
P0.5N2L10.form329, 13, 0, 0, 0
P0.5N2L10.form330, 10, 4, 0, 4
P0.5N2L10.form331, 13, 1, 0, 0
P0.5N2L10.form332, 10, 0, 0, 0
P0.5N2L10.form333, 16, 2, 0, 2
P0.5N2L10.form334, 13, 1, 0, 1
P0.5N2L10.form335, 16, 5, 0, 5
P0.5N2L10.form336, 13, 0, 0, 0
P0.5N2L10.form337, 10, 0, 0, 0
P0.5N2L10.form338, 19, 3, 0, 3
P0.5N2L10.form339, 13, 12, 2, 10
P0.5N2L10.form340, 16, 3, 0, 2
P0.5N2L10.form341, 10, 0, 0, 0
P0.5N2L10.form342, 13, 2, 0, 1
P0.5N2L10.form343, 10, 0, 0, 0
P0.5N2L10.form344, 10, 1, 0, 1
P0.5N2L10.form345, 10, 0, 0, 0
P0.5N2L10.form346, 16, 2, 0, 2
P0.5N2L10.form347, 10, 1, 0, 1
P0.5N2L10.form348, 10, 6, 1, 5
P0.5N2L10.form349, 16, 10, 0, 6
P0.5N2L10.form350, 10, 0, 0, 0
P0.5N2L10.form351, 13, 2, 0, 2
P0.5N2L10.form352, 13, 3, 1, 1
P0.5N2L10.form353, 10, 1, 0, 0
P0.5N2L10.form354, 13, 1, 0, 1
P0.5N2L10.form355, 10, 0, 0, 0
P0.5N2L10.form356, 13, 0, 0, 0
P0.5N2L10.form357, 16, 0, 0, 0
P0.5N2L10.form358, 10, 2, 0, 2
P0.5N2L10.form359, 10, 2, 0, 2
P0.5N2L10.form360, 13, 43, 0, 42
P0.5N2L10.form361, 10, 4, 0, 3
P0.5N2L10.form362, 13, 7, 0, 6
P0.5N2L10.form363, 10, 5, 0, 4
P0.5N2L10.form364, 13, 2, 0, 2
P0.5N2L10.form365, 10, 2, 0, 2
P0.5N2L10.form366, 13, 11, 2, 9
P0.5N2L10.form367, 13, 0, 0, 0
P0.5N2L10.form368, 13, 11, 0, 10
P0.5N2L10.form369, 16, 5, 0, 5
P0.5N2L10.form370, 10, 0, 0, 0
P0.5N2L10.form371, 13, 0, 0, 0
P0.5N2L10.form372, 10, 1, 0, 0
