formula, size, total, solver, subsumption, reverse
P0.5N2L10.form120, 10, 0, 0, 0, 
P0.5N2L10.form121, 13, 0, 0, 0, 
P0.5N2L10.form122, 10, 0, 0, 0, 
P0.5N2L10.form123, 10, 1, 1, 0, 
P0.5N2L10.form124, 13, 1, 0, 0, 
P0.5N2L10.form125, 13, 1, 0, 1, 
P0.5N2L10.form126, 13, 0, 0, 0, 
P0.5N2L10.form127, 16, 1, 0, 0, 
P0.5N2L10.form128, 10, 0, 0, 0, 
P0.5N2L10.form129, 10, 1, 1, 0, 
P0.5N2L10.form130, 13, 1, 1, 0, 
P0.5N2L10.form131, 13, 0, 0, 0, 
P0.5N2L10.form132, 13, 0, 0, 0, 
P0.5N2L10.form133, 16, 1, 0, 0, 
P0.5N2L10.form134, 13, 0, 0, 0, 
P0.5N2L10.form135, 16, 0, 0, 0, 
P0.5N2L10.form136, 16, 0, 0, 0, 
P0.5N2L10.form137, 13, 0, 0, 0, 
P0.5N2L10.form138, 13, 0, 0, 0, 
P0.5N2L10.form139, 16, 0, 0, 0, 
P0.5N2L10.form140, 10, 0, 0, 0, 
P0.5N2L10.form141, 19, 0, 0, 0, 
P0.5N2L10.form142, 16, 0, 0, 0, 
P0.5N2L10.form143, 13, 0, 0, 0, 
P0.5N2L10.form144, 10, 1, 0, 0, 
P0.5N2L10.form145, 10, 0, 0, 0, 
P0.5N2L10.form146, 13, 1, 0, 1, 
P0.5N2L10.form147, 10, 0, 0, 0, 
P0.5N2L10.form148, 13, 0, 0, 0, 
P0.5N2L10.form149, 19, 0, 0, 0, 
P0.5N2L10.form150, 13, 0, 0, 0, 
P0.5N2L10.form151, 13, 0, 0, 0, 
P0.5N2L10.form152, 10, 0, 0, 0, 
P0.5N2L10.form153, 10, 2, 1, 1, 
P0.5N2L10.form154, 13, 0, 0, 0, 
P0.5N2L10.form155, 13, 0, 0, 0, 
P0.5N2L10.form156, 16, 0, 0, 0, 
P0.5N2L10.form157, 13, 0, 0, 0, 
P0.5N2L10.form158, 10, 1, 1, 0, 
P0.5N2L10.form159, 16, 0, 0, 0, 
P0.5N2L10.form160, 16, 0, 0, 0, 
P0.5N2L10.form161, 10, 0, 0, 0, 
P0.5N2L10.form162, 13, 0, 0, 0, 
P0.5N2L10.form163, 10, 0, 0, 0, 
P0.5N2L10.form164, 13, 0, 0, 0, 
P0.5N2L10.form165, 16, 0, 0, 0, 
P0.5N2L10.form166, 13, 0, 0, 0, 
P0.5N2L10.form167, 13, 1, 1, 0, 
P0.5N2L10.form168, 10, 0, 0, 0, 
P0.5N2L10.form169, 13, 1, 0, 0, 
P0.5N2L10.form170, 16, 0, 0, 0, 
