formula, size, total, solver, subsumption, reverse
P0.5N2L10.form353, 10, 3, 0, 0, 
P0.5N2L10.form354, 13, 3, 0, 0, 
P0.5N2L10.form355, 10, 3, 0, 0, 
P0.5N2L10.form356, 13, 3, 0, 0, 
P0.5N2L10.form357, 16, 3, 0, 0, 
P0.5N2L10.form358, 10, 5, 0, 0, 
P0.5N2L10.form359, 10, 5, 0, 0, 
P0.5N2L10.form360, 13, 3, 0, 0, 
P0.5N2L10.form361, 10, 3, 0, 0, 
P0.5N2L10.form362, 13, 3, 0, 1, 
P0.5N2L10.form363, 10, 3, 0, 0, 
P0.5N2L10.form364, 13, 2, 0, 0, 
P0.5N2L10.form365, 10, 2, 0, 0, 
P0.5N2L10.form366, 13, 2, 0, 0, 
P0.5N2L10.form367, 13, 3, 1, 0, 
P0.5N2L10.form368, 13, 3, 0, 0, 
P0.5N2L10.form369, 16, 3, 0, 0, 
P0.5N2L10.form370, 10, 3, 0, 0, 
P0.5N2L10.form371, 13, 5, 1, 0, 
P0.5N2L10.form372, 10, 2, 0, 0, 
P0.5N2L10.form373, 13, 3, 0, 0, 
P0.5N2L10.form374, 19, 3, 0, 0, 
P0.5N2L10.form375, 13, 2, 0, 0, 
P0.5N2L10.form376, 13, 3, 0, 0, 
P0.5N2L10.form377, 16, 3, 1, 0, 
P0.5N2L10.form378, 10, 2, 0, 0, 
P0.5N2L10.form379, 13, 2, 0, 0, 
P0.5N2L10.form380, 13, 13, 0, 0, 
P0.5N2L10.form381, 13, 3, 0, 0, 
P0.5N2L10.form382, 16, 3, 0, 0, 
P0.5N2L10.form383, 10, 3, 0, 0, 
P0.5N2L10.form384, 16, 5, 0, 0, 
P0.5N2L10.form385, 13, 4, 0, 0, 
P0.5N2L10.form386, 13, 3, 0, 0, 
P0.5N2L10.form387, 13, 3, 0, 0, 
P0.5N2L10.form388, 16, 2, 0, 0, 
P0.5N2L10.form389, 16, 3, 1, 0, 
P0.5N2L10.form390, 19, 2, 0, 0, 
P0.5N2L10.form391, 13, 3, 1, 0, 
P0.5N2L10.form392, 13, 3, 0, 0, 
P0.5N2L10.form393, 13, 2, 0, 0, 
P0.5N2L10.form394, 10, 3, 1, 0, 
P0.5N2L10.form395, 13, 5, 1, 0, 
P0.5N2L10.form396, 13, 4, 0, 0, 
P0.5N2L10.form397, 10, 3, 0, 0, 
P0.5N2L10.form398, 19, 3, 0, 0, 
P0.5N2L10.form399, 10, 3, 0, 0, 
P0.5N2L10.form400, 16, 2, 0, 0, 
P0.5N2L10.form401, 13, 2, 0, 0, 
P0.5N2L10.form402, 13, 2, 0, 0, 
P0.5N2L10.form403, 16, 2, 0, 0, 
P0.5N2L10.form404, 16, 2, 0, 0, 
P0.5N2L10.form405, 16, 3, 0, 0, 
P0.5N2L10.form406, 10, 3, 0, 0, 
P0.5N2L10.form407, 13, 3, 0, 1, 
P0.5N2L10.form408, 16, 3, 0, 0, 
P0.5N2L10.form409, 13, 2, 0, 0, 
P0.5N2L10.form410, 13, 3, 0, 0, 
P0.5N2L10.form411, 13, 3, 0, 0, 
P0.5N2L10.form412, 13, 5, 1, 0, 
P0.5N2L10.form413, 10, 5, 0, 0, 
P0.5N2L10.form414, 13, 2, 0, 0, 
P0.5N2L10.form415, 10, 2, 0, 0, 
P0.5N2L10.form416, 16, 3, 0, 0, 
P0.5N2L10.form417, 13, 3, 0, 0, 
P0.5N2L10.form418, 13, 3, 0, 0, 
P0.5N2L10.form419, 13, 4, 0, 0, 
P0.5N2L10.form420, 13, 4, 0, 0, 
P0.5N2L10.form421, 13, 3, 0, 1, 
P0.5N2L10.form422, 13, 3, 0, 0, 
P0.5N2L10.form423, 16, 3, 0, 1, 
P0.5N2L10.form424, 16, 3, 0, 0, 
P0.5N2L10.form425, 13, 3, 0, 0, 
P0.5N2L10.form426, 10, 2, 0, 0, 
P0.5N2L10.form427, 10, 2, 0, 0, 
P0.5N2L10.form428, 19, 2, 0, 0, 
P0.5N2L10.form429, 10, 3, 0, 0, 
P0.5N2L10.form430, 16, 3, 0, 0, 
P0.5N2L10.form431, 13, 3, 1, 0, 
P0.5N2L10.form432, 13, 3, 0, 0, 
P0.5N2L10.form433, 13, 2, 0, 0, 
P0.5N2L10.form434, 10, 7, 2, 0, 
P0.5N2L10.form435, 19, 33, 3, 0, 
P0.5N2L10.form436, 10, 24, 0, 4, 
P0.5N2L10.form437, 10, 11, 0, 0, 
P0.5N2L10.form438, 13, 13, 0, 0, 
P0.5N2L10.form439, 16, 19, 0, 0, 
P0.5N2L10.form440, 16, 12, 0, 0, 
P0.5N2L10.form441, 13, 42, 0, 0, 
P0.5N2L10.form442, 16, 4, 0, 1, 
P0.5N2L10.form443, 13, 4, 1, 0, 
P0.5N2L10.form444, 16, 2, 0, 0, 
P0.5N2L10.form445, 16, 2, 0, 0, 
P0.5N2L10.form446, 13, 3, 0, 1, 
P0.5N2L10.form447, 13, 5, 1, 0, 
P0.5N2L10.form448, 10, 5, 0, 0, 
P0.5N2L10.form449, 10, 3, 0, 0, 
P0.5N2L10.form450, 13, 3, 0, 0, 
P0.5N2L10.form451, 16, 3, 0, 1, 
P0.5N2L10.form452, 22, 4, 1, 0, 
P0.5N2L10.form453, 13, 3, 0, 0, 
P0.5N2L10.form454, 10, 3, 0, 0, 
P0.5N2L10.form455, 19, 3, 0, 0, 
P0.5N2L10.form456, 13, 3, 0, 0, 
P0.5N2L10.form457, 16, 3, 0, 0, 
P0.5N2L10.form458, 16, 4, 0, 0, 
P0.5N2L10.form459, 10, 5, 0, 0, 
P0.5N2L10.form460, 10, 4, 0, 1, 
